ID,제조사,모델,차량상태,배터리용량,구동방식,주행거리(km),보증기간(년),사고이력,연식(년),가격(백만원)
47,3,13,2,46.169,1,83876,2,1,0,22.39
48,3,10,2,46.0,0,197873,1,0,0,28.37
49,5,8,0,96.0,0,7626,7,0,0,77.32
50,5,7,1,84.55276000000015,0,26001,4,0,0,82.64
51,1,19,1,71.841,2,47296,5,0,1,60.12
52,3,10,1,56.623,1,41003,7,0,1,27.69
53,5,6,0,90.0,2,5514,8,0,0,54.12
54,5,7,0,96.0,0,6658,7,0,0,70.22
55,1,19,2,61.018,2,106528,1,0,0,61.91
56,4,16,0,93.39999999999982,0,9161,2,0,0,160.73
57,1,20,0,90.0,2,8279,8,0,0,79.19
58,4,15,2,76.093,0,110041,2,0,0,124.47
59,0,12,0,90.0,0,1461,8,0,0,100.17
60,1,19,0,90.0,0,5550,8,0,0,64.07
61,5,8,2,72.139,0,86478,0,0,0,89.01
62,2,4,1,75.87,1,70822,3,0,0,11.12
63,1,18,1,56.0,2,21665,6,0,2,23.89
64,4,15,1,76.093,0,41038,0,0,2,119.04
65,0,17,1,77.46,0,17020,3,0,0,74.0
66,2,2,2,58.162,0,121459,3,0,0,35.0
67,1,18,0,90.0,2,6173,7,0,0,24.93
68,4,15,1,76.093,0,20028,2,0,0,131.9
69,0,11,2,59.154,0,84938,0,0,0,55.99
70,0,12,0,90.0,0,6690,7,0,0,100.0
71,2,2,0,90.0,0,4691,10,0,0,35.96
72,0,12,2,78.2269999999999,0,193173,1,0,0,97.79
73,0,17,0,91.2,0,7031,7,0,0,64.67
74,6,1,1,65.4,0,14226,4,0,0,40.23
75,3,10,0,90.0,0,6879,10,0,0,21.43
76,2,3,1,65.739,0,44840,6,0,0,37.12
77,5,6,0,90.0,2,1670,8,0,0,54.85
78,2,5,1,68.488,1,39571,6,0,0,27.07
79,1,20,0,90.0,2,90,7,0,0,79.21
80,2,2,0,90.0,0,4071,10,0,0,35.86
81,3,10,2,50.096,0,51091,4,0,0,28.91
82,0,17,1,77.46,0,15126,3,0,0,73.26
83,0,12,0,90.0,0,1497,8,0,0,100.65
84,2,5,1,68.488,1,17063,8,0,2,27.2
85,6,1,0,90.0,0,5465,8,0,0,41.14
86,6,1,1,68.125,0,39711,5,0,1,41.77
87,6,1,2,53.325,0,118110,0,0,0,39.72
88,5,7,2,72.139,0,194348,0,0,0,79.14
89,5,9,1,69.12,0,11004,6,0,2,68.42
90,3,0,0,90.0,1,847,10,0,0,48.95
91,3,13,1,58.982,0,48074,8,0,2,22.89
92,0,17,0,91.2,0,9790,7,0,0,65.67
93,5,6,1,61.153,2,28181,3,0,0,54.0
94,6,1,0,90.0,0,3012,7,0,0,33.99
95,0,12,0,90.0,0,3420,7,0,0,100.0
96,3,13,2,50.096,1,121482,4,0,0,22.72
97,4,15,1,76.093,0,33452,2,0,0,130.66
98,1,18,1,56.0,0,14280,5,0,1,23.87
99,3,0,0,90.0,1,2922,9,0,0,40.86
100,4,14,0,90.0,0,6510,2,0,0,104.5
101,2,4,2,52.78,1,76769,1,0,2,12.63
102,4,15,0,90.0,0,4624,2,0,0,120.25
103,6,1,2,57.861,0,128164,1,1,0,39.19
104,1,20,0,90.0,2,7752,7,0,0,79.53
105,2,4,1,48.27,1,35242,3,0,2,9.0
106,4,16,0,93.39999999999984,0,4803,2,0,0,160.16
107,3,10,2,50.096,0,124671,4,0,0,27.68
108,5,6,2,58.707,2,50261,2,0,0,52.51
109,2,2,2,53.602,0,191458,1,0,0,34.11
110,3,0,0,90.0,1,26,10,0,0,48.83
111,3,13,0,90.0,1,2194,9,0,0,21.05
112,1,19,1,66.208,2,37497,3,0,0,64.45
113,0,17,1,80.688,0,15155,4,0,0,74.06
114,2,2,1,63.11,0,31284,5,0,0,34.48
115,4,16,1,76.156,0,11401,2,0,0,159.71
116,1,19,0,90.0,0,4692,8,1,0,65.94
117,4,16,0,93.4,0,6513,2,0,0,160.08
118,0,11,1,66.861,0,21017,3,0,0,58.49
119,3,10,2,50.096,1,78209,4,0,0,27.58
120,4,15,2,76.093,0,77240,2,0,0,128.85
121,2,5,2,68.488,1,137776,3,0,0,27.83
122,3,10,1,56.623,1,46346,7,0,1,28.18
123,4,14,0,90.0,0,2015,2,0,0,103.02
124,1,20,0,90.0,0,9023,8,0,0,80.79
125,2,5,0,90.0,1,6540,10,0,0,22.3
126,5,6,1,66.355,2,18510,5,0,1,53.15
127,3,10,1,56.0,1,24888,5,0,0,28.23
128,0,12,2,78.227,0,129869,0,1,0,94.89
129,5,8,0,96.0,0,4921,7,0,0,77.29
130,6,1,2,53.325,0,179014,0,0,0,39.5
131,0,17,0,95.0,0,2084,8,0,0,60.31
132,6,1,0,90.0,0,993,8,0,0,40.68
133,0,11,0,90.0,0,8577,8,0,0,59.56
134,6,1,2,53.325,0,149105,0,0,0,39.57
135,4,16,2,73.11,0,147507,2,0,0,155.97
136,3,13,2,46.169,1,127497,2,0,0,21.84
137,0,11,1,72.548,0,11792,5,0,1,58.77
138,3,13,1,56.0,1,15148,6,0,0,22.54
139,1,18,2,46.0,2,175388,0,0,0,22.23
140,6,1,0,90.0,0,9093,7,0,0,34.94
141,2,3,0,90.0,0,411,10,0,0,38.93
142,1,18,0,90.0,0,6451,7,0,0,24.99
143,2,4,1,58.77,1,73469,3,0,0,24.04
144,5,8,0,99.8,0,6225,8,0,0,71.95
145,1,18,1,56.0,2,25713,3,0,0,23.29
146,2,3,1,71.332,0,31336,8,0,2,38.0
147,3,13,2,48.093,0,96195,3,0,0,21.94
148,4,14,0,90.0,0,8475,2,0,0,95.91
149,4,16,2,64.683,0,144028,2,0,0,151.11
150,5,9,0,90.0,0,6057,7,0,0,64.08
151,6,1,0,90.0,0,2481,8,0,0,40.73
152,1,19,0,90.0,2,2369,7,0,0,64.53
153,2,4,1,83.08,1,65046,3,0,2,18.24
154,2,4,2,57.753000000000036,1,63940,1,0,0,26.81
155,0,17,2,65.791,0,88489,0,1,0,70.22
156,4,16,2,73.11,0,139804,2,0,0,156.5
157,2,4,1,53.172990000000006,1,29138,3,0,2,21.78
158,3,10,1,58.982,1,31687,8,0,2,28.11
159,6,1,2,57.861,0,124885,1,0,0,39.29
160,2,2,1,71.332,0,23762,8,0,2,34.6
161,6,1,0,90.0,0,6445,7,0,0,34.71
162,5,6,1,63.701,2,26150,4,0,0,53.78
163,0,11,1,69.646,0,47335,4,0,0,59.0
164,1,18,1,56.0,0,14652,6,0,2,24.0
165,2,3,0,90.0,0,1573,9,1,0,38.94
166,3,10,2,50.096,0,89510,4,0,0,28.97
167,0,12,0,90.0,0,4058,8,0,0,101.01
168,6,1,1,68.125,0,24712,5,0,1,40.16
169,2,2,1,65.739,0,23219,6,0,0,35.0
170,1,18,2,46.0,0,107418,0,1,0,22.62
171,3,13,2,50.096,1,120184,4,0,0,23.61
172,3,0,0,90.0,1,7866,9,0,0,41.55
173,3,10,2,46.0,0,133686,1,0,0,27.77
174,6,1,2,55.547,0,133531,0,0,0,39.39
175,1,20,0,90.0,0,3619,7,0,0,80.12
176,4,15,0,90.0,0,9289,2,0,0,120.52
177,5,7,0,99.8,0,5085,8,0,0,64.71
178,3,13,0,90.0,1,2820,9,0,0,21.15
179,2,3,2,58.162,0,92858,3,0,0,38.0
180,2,4,2,75.64,1,22186,1,0,0,12.2
181,2,5,2,68.488,1,63714,3,0,0,27.68
182,1,19,2,56.234,2,183069,0,0,0,60.11
183,1,19,2,61.018,0,160990,1,1,0,62.46
184,2,2,2,55.836,0,126143,2,0,0,33.74
185,0,12,0,90.0,0,7795,7,0,0,100.15
186,0,11,0,90.0,0,6320,7,0,0,59.64
187,1,19,2,61.018,0,192943,1,0,0,62.66
188,5,8,1,87.14686000000009,0,31445,5,0,1,94.36
189,5,6,0,90.0,2,4839,8,0,0,54.43
190,2,4,2,52.06,1,67838,1,0,2,23.4
191,4,14,0,90.0,0,5974,2,0,0,96.87
192,4,15,0,90.0,0,7798,2,0,0,130.36
193,0,12,2,78.227,0,130607,0,0,0,94.51
194,0,17,0,91.2,0,450,7,0,0,65.88
195,3,10,0,90.0,1,7300,9,1,0,24.98
196,0,12,0,90.0,0,3712,8,0,0,100.16
197,0,12,1,78.28522999999991,0,45741,5,0,1,99.19
198,5,6,1,69.12,2,42073,6,0,2,51.21
199,4,15,0,90.0,0,337,2,0,0,120.48
200,0,12,1,78.28522999999991,0,46410,5,0,1,99.01
201,1,20,0,90.0,2,6475,8,0,0,80.56
202,1,18,1,56.0,2,48800,6,0,2,23.96
203,3,10,0,90.0,1,2616,10,0,0,20.98
204,1,20,0,90.0,2,2149,7,0,0,80.88
205,3,10,1,58.982,0,14738,8,0,2,28.3
206,1,19,2,58.577,2,169627,0,0,0,61.12
207,6,1,2,60.272,0,141033,2,0,0,39.85
208,2,5,0,90.0,1,1687,9,0,0,25.24
209,2,3,2,53.602,0,88699,1,1,0,36.55
210,2,3,0,90.0,0,5459,10,0,0,39.0
211,4,14,1,67.268,0,14902,2,0,0,120.38
212,3,0,0,90.0,1,3929,9,0,0,39.85
213,5,7,2,78.2759999999999,0,189904,2,0,0,80.42
214,0,12,1,78.227,0,15945,4,0,0,99.01
215,3,13,2,46.0,0,183295,1,1,0,22.04
216,2,2,1,68.479,0,14013,7,0,1,34.54
217,0,11,2,59.154,0,191296,0,0,0,55.86
218,0,17,1,77.46,0,10004,3,0,0,73.4
219,4,16,2,67.378,0,122758,2,0,0,151.04
220,3,0,0,90.0,1,454,10,0,0,48.74
221,3,0,0,90.0,0,3151,9,0,0,40.14
222,4,14,0,90.0,0,3660,2,0,0,104.57
223,1,18,1,56.0,2,24745,4,0,0,23.16
224,6,1,2,60.272,0,127772,2,0,0,40.33
225,0,11,2,59.154,0,119056,0,0,0,56.0
226,2,3,0,90.0,0,9618,9,0,0,38.93
227,5,9,2,58.707,0,64532,2,0,0,76.13
228,0,17,2,74.362,0,193451,2,0,0,71.91
229,6,1,0,90.0,0,9943,8,0,0,40.48
230,4,16,0,93.26399999999984,0,2004,2,0,0,160.09
231,1,18,1,56.0,2,37868,4,0,0,23.95
232,1,18,0,90.0,0,8648,7,1,0,24.38
233,0,12,0,90.0,0,1353,7,0,0,100.2
234,2,2,0,90.0,0,1625,9,0,0,35.86
235,1,18,1,56.0,0,25325,5,0,1,24.0
236,2,3,2,60.585,0,197440,4,0,0,37.96
237,3,10,1,58.982,1,41909,8,0,2,28.6
238,2,3,2,53.602,0,127577,1,0,0,36.91
239,3,0,0,90.0,1,2430,10,0,0,47.74
240,2,5,2,68.488,1,75915,3,0,0,28.95
241,2,3,1,65.739,0,12053,6,0,0,37.99
242,1,19,2,63.56,2,99735,2,0,0,62.35
243,4,15,0,90.0,0,7260,2,0,0,120.0
244,4,14,0,90.0,0,1138,2,0,0,95.66
245,6,1,0,90.0,0,3288,7,0,0,33.18
246,0,11,1,75.571,0,24251,6,0,2,52.08
247,4,16,2,73.11,0,80468,2,0,0,156.19
248,3,13,1,56.0,1,26048,5,0,0,23.48
249,3,0,0,90.0,0,3660,10,0,0,47.42
250,3,10,1,56.0,0,43611,5,0,0,27.34
251,3,0,0,90.0,1,2634,9,0,0,40.15
252,6,1,0,90.0,0,8004,7,0,0,34.21
253,5,9,0,90.0,0,9413,8,0,0,75.48
254,2,4,2,69.5195000000001,1,22289,1,0,0,9.77
255,3,0,0,90.0,1,6708,10,0,0,47.91
256,0,17,1,80.68800000000009,0,33992,4,0,0,73.27
257,2,3,1,65.739,0,29261,6,0,0,37.67
258,3,10,1,56.0,1,26126,5,0,0,28.75
259,4,15,0,90.0,0,8691,2,0,0,130.6
260,3,10,1,56.0,1,46331,5,0,0,28.32
261,2,3,2,58.162,0,143239,3,0,0,38.0
262,0,11,1,75.571,0,19074,6,0,2,52.4
263,1,18,2,46.0,2,124709,2,0,0,23.46
264,4,14,0,90.0,0,2353,2,0,0,104.54
265,1,18,2,46.0,2,120152,2,0,0,23.45
266,6,1,2,55.547,0,152916,0,0,0,38.63
267,3,10,2,48.093,1,149913,3,0,0,28.35
268,2,4,2,79.6,1,35181,1,0,0,18.46
269,4,16,2,70.185,0,140500,2,0,0,155.98
270,3,13,1,56.623,0,35505,7,0,1,22.64
271,2,4,1,58.35,1,70295,3,0,2,17.77
272,2,5,0,90.0,1,6642,9,0,0,24.48
273,4,16,0,93.39999999999982,0,6579,2,0,0,160.06
274,3,13,1,56.623,1,21727,7,0,1,22.88
275,5,8,2,69.253,0,105614,0,0,0,88.95
276,2,3,2,58.162,0,184803,3,0,0,37.93
277,2,4,2,69.38,1,79763,1,0,2,15.43
278,0,12,0,90.0,0,5391,7,1,0,100.0
279,0,11,2,61.619,0,75036,1,0,0,57.79
280,4,16,0,91.39399999999995,0,4243,2,0,0,160.19
281,6,1,0,90.0,0,7470,7,0,0,33.39
282,3,0,0,90.0,1,5501,9,0,0,41.42
283,2,2,1,68.479,0,29582,7,0,1,34.88
284,5,6,0,90.0,2,1889,7,0,0,47.18
285,1,18,2,46.0,0,151674,1,0,0,23.45
286,6,1,0,90.0,0,7558,7,0,0,33.72
287,0,17,0,91.2,0,7292,7,0,0,64.55
288,2,5,0,90.0,1,5563,9,0,0,24.55
289,4,15,0,90.0,0,7877,2,0,0,120.0
290,2,2,1,68.479,0,49380,7,0,1,34.94
291,0,12,2,78.2269999999999,0,175481,0,1,0,94.94
292,4,16,2,64.683,0,118368,2,0,0,151.0
293,0,12,2,78.2269999999999,0,188472,0,0,0,94.02
294,4,16,2,64.683,0,50932,2,0,0,151.07
295,1,20,0,90.0,2,4026,7,0,0,79.89
296,0,17,2,74.362,0,52824,2,0,0,72.32
297,2,5,1,68.488,1,15984,6,0,0,27.89
298,0,12,0,90.0,0,627,8,0,0,100.14
299,0,11,0,90.0,0,4510,7,0,0,59.86
300,4,15,2,76.093,0,121106,2,0,0,127.93
301,6,1,0,90.0,0,7001,8,0,0,39.39
302,2,2,2,60.585,0,54765,4,0,0,35.0
303,0,11,1,72.548,0,16269,5,0,1,58.19
304,3,10,1,56.0,0,25790,6,0,0,29.03
305,0,12,0,90.0,0,268,8,0,0,100.78
306,1,20,0,90.0,0,4422,7,0,0,80.08
307,1,19,2,63.56,2,53548,2,0,0,61.87
308,4,15,0,90.0,0,8863,2,0,0,129.74
309,1,18,0,90.0,2,999,7,0,0,24.98
310,1,20,0,90.0,2,2806,8,0,0,80.38
311,1,20,0,90.0,2,6535,7,0,0,79.19
312,6,1,1,68.125,0,20002,5,0,1,41.51
313,0,17,0,95.0,0,603,8,0,0,60.42
314,4,16,0,93.4,0,1000,2,0,0,160.84
315,4,16,2,73.11,0,117701,2,0,0,155.8
316,3,10,2,46.0,0,178187,1,0,0,26.72
317,1,20,0,90.0,0,7807,8,0,0,80.79
318,0,12,2,78.2269999999999,0,192734,1,0,0,97.06
319,5,8,0,96.0,0,8184,7,0,0,78.95
320,4,14,2,54.849,0,122983,2,0,0,115.41
321,4,14,2,59.515,0,196262,2,1,0,119.29
322,3,13,2,46.169,1,130235,2,0,0,22.63
323,2,3,2,55.836,0,66781,2,0,0,37.17
324,5,7,0,96.0,0,4453,7,0,0,69.94
325,5,9,0,90.0,0,8107,8,0,0,75.93
326,2,2,0,90.0,0,673,10,0,0,36.0
327,5,6,2,58.707,2,154503,2,0,0,52.87
328,3,10,2,48.093,1,95335,3,0,0,27.97
329,5,6,0,90.0,2,6247,8,0,0,54.46
330,6,1,0,90.0,0,8445,8,0,0,40.89
331,4,16,1,86.04257000000013,0,27180,0,0,2,159.61
332,1,18,2,46.0,2,180796,2,0,0,23.16
333,0,17,0,91.2,0,559,7,0,0,65.93
334,0,17,0,95.0,0,5069,8,0,0,58.92
335,4,14,0,90.0,0,9568,2,0,0,95.12
336,5,9,2,58.707,0,172969,2,1,0,76.4
337,4,14,2,54.849,0,132658,2,0,0,115.89
338,3,10,1,56.0,1,12806,5,1,0,28.49
339,1,19,2,58.577,2,73077,0,0,0,60.55
340,4,14,0,90.0,0,1807,2,0,0,104.78
341,0,11,0,90.0,0,1893,7,0,0,59.51
342,3,0,0,90.0,0,9842,9,0,0,41.26
343,2,5,0,90.0,1,8990,10,0,0,21.5
344,0,17,1,77.46,0,11445,3,0,0,73.95
345,5,7,0,96.0,0,69,7,0,0,69.11
346,2,4,2,75.5,1,44283,1,0,0,23.45
347,6,1,0,90.0,0,3332,7,0,0,34.28
348,5,9,1,63.701,0,48360,4,0,0,77.58
349,3,10,0,90.0,1,5951,9,1,0,25.16
350,2,3,0,90.0,0,7806,10,0,0,39.0
351,2,3,0,90.0,0,8826,10,1,0,38.92
352,0,17,0,91.2,0,4218,7,0,0,65.15
353,1,19,1,66.208,2,25579,3,0,0,63.06
354,0,17,0,95.0,0,9525,8,0,0,60.12
355,6,1,0,90.0,0,8651,7,0,0,33.14
356,3,0,0,90.0,1,7543,9,0,0,39.96
357,4,15,2,76.093,0,156020,2,0,0,124.03
358,0,11,0,90.0,0,3634,8,0,0,59.24
359,2,5,2,68.488,1,52226,4,0,0,28.92
360,1,18,2,46.0,0,117810,2,1,0,23.46
361,0,17,1,87.55199999999986,0,13430,6,0,2,74.68
362,4,15,0,90.0,0,8051,2,0,0,120.14
363,1,18,0,90.0,0,6303,7,0,0,24.92
364,4,15,1,76.093,0,44163,0,0,2,119.0
365,6,1,0,90.0,0,4156,7,0,0,33.85
366,2,5,1,68.488,1,26791,8,0,2,27.09
367,6,1,0,90.0,0,1781,7,0,0,34.71
368,6,1,2,57.861,0,67281,1,0,0,39.43
369,5,6,0,90.0,2,6990,8,0,0,54.6
370,3,0,0,90.0,1,5175,9,0,0,40.84
371,1,19,2,58.577,0,174970,0,0,0,60.72
372,1,19,1,66.208,0,25459,3,0,0,64.6
373,5,9,0,90.0,0,5521,8,0,0,75.38
374,2,3,2,60.585,0,117560,4,0,0,37.87
375,1,19,0,90.0,0,1004,7,0,0,65.88
376,2,5,1,68.488,1,37329,5,0,0,28.77
377,4,14,0,90.0,0,9115,2,1,0,95.81
378,5,9,0,90.0,0,4582,7,0,0,64.02
379,1,20,0,90.0,2,2975,7,0,0,79.76
380,5,9,2,58.707,0,175956,2,0,0,77.25
381,0,17,0,95.0,0,8568,8,0,0,59.5
382,2,2,1,68.479,0,47853,7,0,1,35.0
383,3,0,0,90.0,1,1979,10,0,0,48.47
384,1,18,2,46.0,0,184921,0,0,0,22.6
385,3,13,0,90.0,1,4148,10,0,0,17.65
386,5,8,0,99.8,0,5784,8,0,0,72.57
387,1,20,0,90.0,0,3558,7,0,0,79.68
388,4,14,0,90.0,0,7012,2,0,0,104.45
389,1,18,2,46.0,0,148780,0,0,0,22.75
390,4,15,0,90.0,0,7777,2,0,0,130.52
391,0,17,0,91.2,0,8976,7,0,0,65.56
392,1,19,1,71.841,2,29704,5,0,1,60.38
393,0,11,0,90.0,0,3086,8,0,0,59.69
394,1,19,1,74.834,2,44079,6,0,2,63.48
395,0,12,2,77.84149999999991,0,52495,0,0,0,94.19
396,2,5,0,90.0,1,4169,9,0,0,25.43
397,1,18,2,46.0,2,192367,1,0,0,23.35
398,2,5,2,68.488,1,73973,1,0,0,27.32
399,0,17,2,68.532,0,172524,0,0,0,70.09
400,4,14,2,54.849,0,121421,2,0,0,114.96
401,1,18,1,56.0,2,41476,5,0,1,23.97
402,0,11,0,90.0,0,543,7,0,0,59.92
403,4,16,2,73.11,0,79650,2,0,0,156.29
404,2,5,0,90.0,1,4943,9,0,0,24.58
405,3,10,1,56.0,1,24328,5,0,0,27.95
406,5,9,2,54.104,0,92277,0,0,0,74.37
407,3,0,0,90.0,0,2557,10,0,0,47.47
408,2,2,1,68.479,0,22494,7,1,1,35.0
409,2,5,0,90.0,1,7759,9,0,0,25.06
410,1,18,0,90.0,0,6578,7,0,0,24.57
411,1,19,2,63.56,2,186347,2,0,0,62.32
412,3,13,2,46.0,1,174626,1,0,0,21.93
413,1,19,2,61.018,2,191779,1,1,0,62.03
414,6,1,2,57.861,0,144500,1,0,0,40.79
415,3,10,0,90.0,1,7340,9,0,0,25.5
416,2,5,0,90.0,1,491,10,0,0,22.34
417,2,3,2,60.585,0,100355,4,0,0,37.44
418,5,6,0,90.0,2,7117,7,0,0,47.72
419,5,6,0,90.0,2,783,7,0,0,46.82
420,4,16,0,90.0,0,8380,2,0,0,160.41
421,2,5,0,90.0,1,3924,10,0,0,22.21
422,5,9,2,51.94,0,95569,0,0,0,73.4
423,2,4,1,61.15799999999996,1,68137,3,0,2,19.73
424,3,10,2,48.093,0,180988,3,0,0,27.31
425,1,19,1,68.967,0,16407,4,0,0,63.44
426,5,7,0,99.8,0,612,8,0,0,63.79
427,0,11,0,90.0,0,6891,8,0,0,59.95
428,4,16,0,93.4,0,9552,2,0,0,160.15
429,3,13,2,46.0,1,139646,1,0,0,21.68
430,0,12,0,90.0,0,397,8,0,0,100.65
431,1,19,1,66.208,0,38896,3,0,0,64.06
432,5,8,1,84.68868000000015,0,43648,4,0,0,93.81
433,2,5,1,68.488,1,49129,7,0,1,28.73
434,1,18,1,56.0,2,11431,6,0,2,24.0
435,5,6,0,90.0,2,6728,7,0,0,46.31
436,4,15,1,76.093,0,44626,1,0,1,130.47
437,0,17,2,68.532,0,95715,0,0,0,70.21
438,2,5,0,90.0,1,7687,10,0,0,22.02
439,6,1,2,53.325,0,76543,0,0,0,39.53
440,3,13,1,56.0,1,45785,6,0,0,23.28
441,3,10,1,56.623,1,17956,7,0,1,27.46
442,1,20,0,90.0,2,9429,8,0,0,80.25
443,3,0,0,90.0,0,2030,10,0,0,48.05
444,3,13,0,90.0,1,2902,9,0,0,21.05
445,2,5,0,90.0,1,9587,9,0,0,23.78
446,1,18,1,56.0,0,43779,3,0,0,23.97
447,2,2,0,90.0,0,4053,9,0,0,35.87
448,1,18,1,56.0,2,21545,4,0,0,23.41
449,5,6,0,90.0,2,4872,8,0,0,55.0
450,2,4,1,61.55476000000002,1,26350,3,0,1,22.29
451,6,1,2,53.325,0,78686,0,0,0,38.36
452,4,15,1,76.093,0,11762,0,0,2,119.04
453,2,2,0,90.0,0,4716,10,0,0,35.96
454,6,1,1,65.4,0,39919,4,1,0,40.24
455,6,1,1,65.4,0,34984,4,0,0,40.1
456,5,9,0,90.0,0,2931,7,0,0,64.44
457,1,18,2,46.0,2,169115,0,0,0,22.22
458,4,15,0,90.0,0,8842,2,0,0,130.32
459,5,8,2,75.145,0,154013,1,0,0,90.42
460,2,3,0,90.0,0,103,9,0,0,39.0
461,1,20,0,90.0,2,7275,7,0,0,79.41
462,4,15,1,76.093,0,32013,1,0,1,131.56
463,0,12,0,90.0,0,2571,7,0,0,100.79
464,5,6,0,90.0,2,8152,7,0,0,46.6
465,2,3,0,90.0,0,6088,10,0,0,38.93
466,2,5,2,68.488,1,168512,4,0,0,28.32
467,4,16,0,93.39999999999982,0,6604,2,0,0,160.69
468,2,2,1,63.11,0,30320,5,0,0,35.0
469,1,20,0,90.0,2,6990,7,0,0,80.56
470,4,15,2,76.093,0,175818,2,0,0,124.33
471,4,14,0,90.0,0,5201,2,0,0,96.24
472,0,12,0,90.0,0,512,7,1,0,100.07
473,5,7,2,72.139,0,50183,0,0,0,77.92
474,0,12,2,78.2269999999999,0,167323,2,0,0,97.53
475,1,18,1,56.0,2,40254,3,0,0,23.24
476,3,0,0,90.0,1,2250,9,0,0,41.04
477,1,19,1,71.841,2,43279,5,0,1,60.83
478,2,3,2,60.585,0,141611,4,0,0,38.0
479,5,6,0,90.0,2,8132,8,0,0,54.18
480,2,2,0,90.0,0,5817,10,0,0,35.96
481,5,8,0,96.0,0,586,7,0,0,77.24
482,4,16,2,70.185,0,175140,2,0,0,156.31
483,4,15,0,90.0,0,6137,2,0,0,129.28
484,5,8,0,96.0,0,4375,7,1,0,78.85
485,1,18,1,56.0,2,15455,6,0,2,23.92
486,3,13,0,90.0,1,6159,9,0,0,21.14
487,0,12,2,78.2269999999999,0,58934,2,0,0,97.0
488,1,19,2,58.577,2,69631,0,0,0,60.38
489,1,18,1,56.0,0,36373,4,0,0,24.0
490,3,0,0,90.0,0,367,9,0,0,41.12
491,1,19,0,90.0,2,2815,7,0,0,64.62
492,5,8,0,99.8,0,2312,8,0,0,72.12
493,2,4,1,57.63,1,50437,3,0,1,24.56
494,0,11,1,72.548,0,17165,5,0,1,57.68
495,5,8,0,99.8,0,8632,8,0,0,72.52
496,3,10,1,58.982,0,22529,8,0,2,26.89
497,3,10,2,46.0,1,91806,1,0,0,28.03
498,4,15,2,76.093,0,130409,2,0,0,124.01
499,4,14,0,90.0,0,8699,2,0,0,104.02
500,0,11,1,66.861,0,47602,3,0,0,58.36
501,4,16,0,90.0,0,1029,2,0,0,160.82
502,0,11,0,90.0,0,6923,7,0,0,59.99
503,6,1,0,90.0,0,8675,7,0,0,34.74
504,5,9,0,90.0,0,7091,7,0,0,63.16
505,2,2,2,55.836,0,135569,2,0,0,34.19
506,2,2,1,65.739,0,21650,6,1,0,34.92
507,5,7,0,96.0,0,5903,7,0,0,69.97
508,2,5,0,90.0,1,8207,10,0,0,21.23
509,5,9,1,61.153,0,17766,3,0,0,77.45
